date,interest_income,interest_expense,average_earning_assets,net_income,total_assets,shareholder_equity,operating_expenses,operating_income,market_share,stock_price,roa,roe,cost_income_ratio,net_interest_margin,asset_growth,income_growth
2022-01-03,2121958.0,773237,55001045,1572212.0,95404302,23496605,811672,3494178,24,128,0.016479466512946135,0.06691230499044436,0.23229268800845293,0.024521734087052344,,
2022-01-04,2671155.0,518070,54463418,1336326.0,86440010,24948600,1030817,3231496,20,63,0.01545957711018312,0.05356316586902672,0.3189906470563479,0.03953268228593365,-0.09396108783438295,-0.15003447372237333
2022-01-05,2131932.0,797921,59771802,1224137.0,88674163,26416438,1345961,3692148,22,196,0.013804889255058432,0.046339972103733286,0.3645468708188296,0.022318400238292967,0.025846283451378627,-0.08395331678048623
2022-01-06,2365838.0,556958,54345760,1452268.0,97221407,29694095,1289921,4779685,14,177,0.014937738969360934,0.04890763634992075,0.26987573448877905,0.0332846573495338,0.09638933947422768,0.18636067695037406
2022-01-07,2259178.0,1746222,57153768,3858336.0,98279553,25311499,1432303,4764985,10,103,0.03925878661658137,0.15243411699955028,0.30058919387993877,0.008975016310385695,0.010883878691449134,1.6567658311000448
2022-01-10,2644167.0,510729,53251298,1297881.0,83486669,20308623,1320399,4897501,21,197,0.015545966985459679,0.06390787794918444,0.2696066830818411,0.04006358680684178,-0.1505184298101152,-0.6636163879973128
2022-01-11,2110268.0,730785,54465150,1363476.0,94994515,23647371,1106140,3560315,20,78,0.014353207656252575,0.057658671655297325,0.3106859926719967,0.025327810535727892,0.13784052158075677,0.05054007262607274
2022-01-12,2732180.0,676089,58389012,1351707.0,83722946,23296903,769286,3879979,26,73,0.016145000439903297,0.05802088801245384,0.1982706607432669,0.03521366314607276,-0.11865494549869537,-0.008631615077933197
2022-01-13,2054886.0,697392,57249903,1684733.0,89874813,29579010,793269,3173921,13,131,0.018745329684302096,0.05695704487743167,0.24993344194767292,0.023711725764845402,0.0734788644441633,0.24637439918562243
2022-01-14,2137337.0,658823,54897590,1510585.0,91254507,25998223,958635,4935135,24,112,0.016553538555635395,0.05810339422044345,0.19424696588847112,0.026932220521884476,0.015351286461091185,-0.10336830821263665
2022-01-18,2999890.0,999616,56189573,1691757.0,80224695,21147116,774071,3673218,18,154,0.021087733646104855,0.07999941930615977,0.21073374899066705,0.03559866881351812,-0.1208686821353383,0.1199349920726076
2022-01-19,2521430.0,605864,51323483,1390719.0,91370075,23772763,1150542,4788098,29,106,0.015220727355209022,0.058500520112029046,0.2402920742223739,0.03732338274859483,0.13892704733872785,-0.1779439955029002
2022-01-20,2954698.0,893002,51722320,1479361.0,94063918,26478450,921095,3603291,28,185,0.01572718882494348,0.05587037760896125,0.25562603741968104,0.03986085697625319,0.029482771027603993,0.06373825337828842
2022-01-21,2087498.0,709141,52332517,1101371.0,95388755,20310375,1213317,3707755,28,111,0.011546130358866724,0.05422701451844193,0.3272376411062759,0.02633844269328762,0.014084433523170903,-0.2555089663712914
2022-01-24,2899159.0,998863,53196340,1562997.0,89799314,22126453,730651,3564046,21,66,0.017405444767651566,0.07063929315738045,0.20500605211043854,0.035722307211360785,-0.058596435187774465,0.41913760213406737
2022-01-25,2912756.0,867654,58551881,1192192.0,83340216,21271300,770202,3316456,14,115,0.014305122511321544,0.05604697409185146,0.2322364596424617,0.03492803245723224,-0.07192814412813886,-0.2372397387838876
2022-01-26,2175203.0,554748,55387408,1150322.0,93245696,25238631,748777,4379390,19,55,0.012336462156923576,0.04557782868650839,0.1709774648980794,0.029256740087927568,0.11885594344991857,-0.03512018198410993
2022-01-27,2191335.0,505801,55692493,1021172.0,81847865,23842411,848066,4034262,26,107,0.012476464719024742,0.04283006445950453,0.21021589574499625,0.0302650125574375,-0.12223439245925083,-0.1122729114108919
2022-01-28,2116212.5,650262,58247752,1508646.5,94921595,26310208,890706,3082279,14,118,0.015893606718260476,0.05734072873920267,0.288976435942366,0.025167503460047695,0.15973208342086864,0.4773676716557054
2022-01-31,2041090.0,942905,51087341,1996121.0,94568974,29404024,1324446,3015434,25,111,0.021107567477680365,0.06788598050389294,0.43922234742992217,0.021496225454364516,-0.0037148659375140225,0.32312042615682346
2022-02-01,2329365.0,735362,56195200,1577564.0,95674529,26127764,1497232,3719407,16,131,0.01648886089629979,0.06037883685722207,0.4025458897076873,0.028365465377825864,0.011690462032505566,-0.20968518441517325
2022-02-02,2064820.0,944209,53977266,1581780.0,89308092,25859046,1463935,3440991,18,120,0.01771149696043221,0.06116930995830241,0.4254399386688312,0.020760795850608662,-0.0665426531652954,0.002672474777568379
2022-02-03,2787201.0,529592,55558956,1708362.0,84017136,26034207,1026022,3337913,12,180,0.02033349482419872,0.0656198976984396,0.30738428473120777,0.04063447484506368,-0.05924385888794936,0.08002503508705372
2022-02-04,2321879.0,772791,53031756,1513319.0,93869848,27940879,980852,4818618,24,59,0.016121460002790248,0.05416146714639865,0.20355462914885555,0.02921057337795867,0.1172702673416528,-0.11416959637360236
2022-02-07,2718315.0,639788,50843523,1780298.0,97122071,23341861,1368179,3328821,25,147,0.01833051933169753,0.07627061098513097,0.4110100843511862,0.04088086106857702,0.034646087847079565,0.17641951234339892
2022-02-08,2327069.0,719963,58934845,1876031.0,85750283,27359201,1430265,3083555,27,138,0.02187784033319167,0.06857038697877178,0.4638363836545805,0.027269198722759007,-0.11708757734377395,0.05377358172620528
2022-02-09,2776997.0,980761,54040479,1989859.0,81074961,22615804,1288158,4701243,23,84,0.024543446897248584,0.08798533096590332,0.27400370497759846,0.03323871352065551,-0.05452252559912829,0.06067490355969607
2022-02-10,2199041.0,748710,50092193,1222320.0,91950571,24312717,1233571,4789856,12,51,0.013293229032802853,0.0502749240243285,0.25753822244343044,0.028953234289423105,0.1341426485545889,-0.38572532023625794
2022-02-11,2791743.0,720984,51186887,1417978.0,99155151,21982243,1385933,4812375,21,173,0.014300598463109597,0.06450561027825959,0.2879935582742409,0.040454872748952285,0.07835274889157562,0.160071012500818
2022-02-14,2103355.0,872771,58896761,1011046.0,97911322,23413654,1124149,3176806,18,73,0.01032613981047054,0.0431818971955424,0.353861394117236,0.02089391639041067,-0.01254427014084225,-0.2869804750144219
2022-02-15,2235796.0,832460,53334817,1228071.0,92866619,25986417,1230062,4936673,16,123,0.013224030477517438,0.047258188768386195,0.24916821511167542,0.026311818038111952,-0.051523183396502414,0.21465393265983934
2022-02-16,2214176.0,758067,52715514,1378165.0,82474968,27863020,903127,4530295,18,71,0.016710100451327245,0.04946215449725119,0.19935280152837728,0.02762202034110869,-0.11189866834712692,0.12221931793845786
